Instrument Name,DustTrak DRX
Model Number,8533
Serial Number,8533103404
Firmware Version,3.0
Calibration Date,03/12/2014
Test Name,MANUAL_001
Test Start Time,15:40:11
Test Start Date,05/04/2018
Test Length [D:H:M],0:1:20
Test Interval [M:S],0:1
PM1 Average [mg/m3],0.015
PM1 Minimum [mg/m3],0.008
PM1 Maximum [mg/m3],0.131
PM1 TWA [mg/m3],0.002
PM2.5 Average [mg/m3],0.015
PM2.5 Minimum [mg/m3],0.008
PM2.5 Maximum [mg/m3],0.131
PM2.5 TWA [mg/m3],0.002
PM4 Average [mg/m3],0.015
PM4 Minimum [mg/m3],0.008
PM4 Maximum [mg/m3],0.131
PM4 TWA [mg/m3],0.002
PM10 Average [mg/m3],0.015
PM10 Minimum [mg/m3],0.008
PM10 Maximum [mg/m3],0.131
PM10 TWA [mg/m3],0.002
TOTAL Average [mg/m3],0.015
TOTAL Minimum [mg/m3],0.008
TOTAL Maximum [mg/m3],0.131
TOTAL TWA [mg/m3],0.002
Photometric User Cal,1.00
Size Correction User Cal,1.00
Flow User Cal,0.00
Errors,
Number of Samples,4849

Elapsed Time [s],PM1 [mg/m3],PM2.5 [mg/m3],PM4 [mg/m3],PM10 [mg/m3],TOTAL [mg/m3],Alarms,Errors
272,0.014,0.015,0.015,0.015,0.015,,
273,0.014,0.014,0.014,0.014,0.014,,
274,0.014,0.014,0.014,0.014,0.014,,
275,0.014,0.014,0.014,0.014,0.014,,
276,0.013,0.013,0.013,0.013,0.013,,
277,0.012,0.012,0.012,0.012,0.012,,
278,0.015,0.015,0.015,0.015,0.015,,
279,0.013,0.013,0.013,0.013,0.013,,
280,0.014,0.014,0.014,0.014,0.014,,
281,0.017,0.017,0.017,0.017,0.017,,
282,0.014,0.015,0.015,0.015,0.015,,
283,0.012,0.012,0.012,0.012,0.012,,
284,0.011,0.012,0.012,0.012,0.012,,
285,0.012,0.012,0.012,0.012,0.012,,
286,0.013,0.013,0.013,0.013,0.013,,
287,0.012,0.012,0.012,0.012,0.012,,
288,0.014,0.014,0.014,0.014,0.014,,
289,0.013,0.013,0.013,0.013,0.013,,
290,0.013,0.013,0.013,0.013,0.013,,
291,0.015,0.015,0.015,0.015,0.015,,
292,0.014,0.014,0.014,0.014,0.014,,
293,0.014,0.014,0.014,0.014,0.014,,
294,0.014,0.014,0.014,0.014,0.014,,
295,0.013,0.013,0.013,0.013,0.013,,
296,0.014,0.014,0.014,0.014,0.014,,
297,0.014,0.014,0.014,0.014,0.014,,
298,0.016,0.016,0.016,0.016,0.016,,
299,0.015,0.016,0.016,0.016,0.016,,
300,0.013,0.013,0.013,0.013,0.013,,
301,0.014,0.014,0.014,0.014,0.014,,
302,0.013,0.013,0.013,0.013,0.013,,
303,0.014,0.014,0.014,0.014,0.014,,
304,0.014,0.014,0.014,0.014,0.014,,
305,0.014,0.014,0.014,0.014,0.014,,
306,0.015,0.015,0.015,0.015,0.015,,
307,0.017,0.017,0.017,0.017,0.017,,
308,0.015,0.015,0.015,0.015,0.015,,
309,0.013,0.013,0.013,0.013,0.013,,
310,0.012,0.012,0.012,0.012,0.012,,
311,0.013,0.013,0.013,0.013,0.013,,
312,0.013,0.013,0.013,0.013,0.013,,
313,0.014,0.014,0.014,0.014,0.014,,
314,0.017,0.017,0.017,0.017,0.017,,
315,0.017,0.017,0.017,0.017,0.017,,
316,0.012,0.012,0.012,0.012,0.012,,
317,0.016,0.016,0.016,0.016,0.016,,
318,0.021,0.021,0.021,0.021,0.021,,
319,0.013,0.013,0.013,0.013,0.013,,
320,0.013,0.013,0.013,0.013,0.013,,
321,0.015,0.015,0.015,0.015,0.015,,
322,0.014,0.014,0.014,0.014,0.014,,
323,0.013,0.013,0.013,0.013,0.013,,
324,0.014,0.014,0.014,0.014,0.014,,
325,0.013,0.013,0.013,0.013,0.013,,
326,0.011,0.011,0.011,0.011,0.011,,
327,0.012,0.012,0.012,0.012,0.012,,
328,0.013,0.013,0.013,0.013,0.013,,
329,0.014,0.014,0.014,0.014,0.014,,
330,0.014,0.014,0.014,0.014,0.014,,
331,0.014,0.014,0.014,0.014,0.014,,
332,0.015,0.015,0.015,0.015,0.015,,
333,0.013,0.013,0.013,0.013,0.013,,
334,0.017,0.017,0.017,0.017,0.017,,
335,0.022,0.022,0.022,0.022,0.022,,
336,0.014,0.014,0.014,0.014,0.014,,
337,0.013,0.013,0.013,0.013,0.013,,
338,0.014,0.014,0.014,0.014,0.014,,
339,0.013,0.013,0.013,0.013,0.013,,
340,0.013,0.013,0.013,0.013,0.013,,
341,0.013,0.013,0.013,0.013,0.013,,
342,0.013,0.013,0.013,0.013,0.013,,
343,0.015,0.015,0.015,0.015,0.015,,
